step	grad_norm
0	0.3935036361217499
1	0.5119128823280334
3	0.6363120675086975
4	0.6960681080818176
6	0.7531012296676636
7	0.9599596261978149
9	0.9739232063293457
10	1.1481631994247437
12	1.119692087173462
13	1.2780852317810059
15	1.0251593589782715
16	1.5226309299468994
18	1.2171330451965332
19	1.66907799243927
21	1.3319135904312134
22	1.4432196617126465
24	1.663737416267395
25	1.2640354633331299
27	1.6205964088439941
28	1.2827613353729248
30	1.1589627265930176
31	1.3046494722366333
33	1.3054603338241577
34	1.3532257080078125
36	0.8657758235931396
37	0.9937236905097961
