step	epoch
0	0.0447427293064877
1	0.0894854586129754
2	0.0894854586129754
3	0.1342281879194631
4	0.1789709172259508
5	0.1789709172259508
6	0.22371364653243847
7	0.2684563758389262
8	0.2684563758389262
9	0.3131991051454139
10	0.3579418344519016
11	0.3579418344519016
12	0.40268456375838924
13	0.44742729306487694
14	0.44742729306487694
15	0.49217002237136465
16	0.5369127516778524
17	0.5369127516778524
18	0.5816554809843401
19	0.6263982102908278
20	0.6263982102908278
21	0.6711409395973155
22	0.6711409395973155
